feature,Feature Importance
3-Hydroxybutyric acid,0.04150097
2-Hydroxybutyric acid,0.033890487
3-Hydroxyphenylhydracrylic acid,0.031056533
Heptadecanoic acid,0.0261865
"3,4-Dihydroxyhydrocinnamic acid",0.025535821
L-Aspartic acid,0.023915456
Mandelic acid,0.023258826
Phthalic acid,0.021950571
2-Phenylglycine,0.021187355
3-Indolepropionic acid,0.018127536
DPA,0.016600696
Pyroglutamic acid,0.016553967
Murocholic acid,0.016050031
Deoxycholic acid,0.014389148
Gallic acid,0.01407706
Propionylcarnitine,0.013330508
Benzoic acid,0.01295975
7-Dehydrocholic acid,0.012891542
Homovanillic acid,0.011955011
L-Lactic acid,0.011926071
Beta_Hyodeoxycholic Acid,0.011544354
"8,11,14-Eicosatrienoic acid",0.011272799
2-Phenylpropionate,0.011112728
Azelaic acid,0.010870352
Pentadecanoic acid,0.010794623
D-Xylose,0.010425481
Ursocholic acid,0.010187643
7-ketolithocholic acid,0.009925153
Arachidonic acid,0.009604695
Glycolic acid,0.009410702
Citramalic acid,0.009357619
L-Glutamic acid,0.009272576
Ursodeoxycholic acid,0.009081356
DHA,0.00855287
Beta-Alanine,0.008533985
Glycolithocholic acid,0.008532243
Alpha-Hydroxyisobutyric acid,0.008518585
D-Gluconolactone,0.008067077
Hydroxyphenyllactic acid,0.008047059
L-Malic acid,0.007908684
a_muricholic acid,0.00752923
Nicotinic acid,0.007482425
Apocholic Acid,0.007331544
Creatine,0.007132924
L-Leucine,0.006880417
Adrenic acid,0.006847882
1H-Indole-3-acetamide,0.006800899
Fumaric acid,0.006630303
Dimethylglycine,0.006362188
Oxalic acid,0.006203364
Lithocholic acid 3-sulfate,0.006139701
L-Arginine,0.006101962
Isovaleric acid,0.006100872
Hyodeoxycholic acid,0.005886606
Norcholic acid,0.005775458
Lithocholic acid,0.005758202
3-Dehydrocholic acid,0.005730494
p-Hydroxyphenylacetic acid,0.005704877
Phenyllactic acid,0.005551163
Methylcysteine,0.005533077
Adipic acid,0.00541418
3-Aminosalicylic acid,0.005376021
Myristoleic acid,0.005323382
D-Ribulose,0.005317468
Acetic acid,0.005306
3-Methyladipic acid,0.005249728
isolithocholic acid,0.005151147
Propanoic acid,0.005079968
Alpha-Linolenic acid,0.004991229
Cholic acid,0.004935826
Gamma-Linolenic acid,0.004729104
L-Valine,0.004644147
Carnitine,0.004499688
Glycodeoxycholic acid,0.00448194
Ethylmethylacetic acid,0.004457846
L-Histidine,0.004435271
D-Fructose,0.00434396
Taurochenodeoxycholic acid,0.004288358
Gamma-Aminobutyric acid,0.00428404
L-Asparagine,0.004267571
Cinnamic acid,0.004203133
D-Xylulose,0.004125544
Rhamnose,0.004106264
Ketoleucine,0.004056116
Butyric acid,0.004007066
Linoleic acid,0.003992057
Itaconic acid,0.003933587
L-Threonine,0.00392766
4-Hydroxyphenylpyruvic acid,0.00386281
Hydrocinnamic acid,0.00378732
N-Acetyl-D-glucosamine,0.003704494
bUrsodeoxycholic acid,0.003693646
3-Methylindole,0.003583487
Oleic acid,0.003575957
Valeric acid,0.003542054
Glyceric acid,0.003542018
3-Methyl-2-oxovaleric acid,0.00351426
L-Pipecolic acid,0.003487797
Ornithine,0.003427621
Methylglutaric acid,0.003397192
Palmitoleic acid,0.003356239
DPAn-6,0.003320505
Phenylpyruvic acid,0.003236405
L-Glutamine,0.003235325
4-Aminohippuric acid,0.003219066
Citric acid,0.003194364
L-Alanine,0.003136273
Glycoursodeoxycholic acid,0.003064152
Tartaric acid,0.002909191
L-Isoleucine,0.002908947
Vanillic acid,0.002850378
Succinic acid,0.002829689
Glycochenodeoxycholic acid,0.002819357
Indole-3-methyl acetate,0.002811149
D-Glucose,0.002742174
L-Lysine,0.002736089
Citraconic acid,0.002686462
L-Alpha-Aminobutyric acid,0.002630977
EPA,0.00244405
Isocitric acid,0.002383764
Formic acid,0.002378667
Dodecanoic acid,0.002338715
L-Serine,0.002324694
Alpha-Ketoisovaleric acid,0.002266506
Glycolithocholic acid 3-sulfate,0.002181064
N-Phenylacetylphenylalanine,0.002154021
L-Methionine,0.002102722
Sarcosine,0.002088255
3-Nitrotyrosine,0.002055043
Myristic acid,0.00200694
w_muricholic acid,0.001978423
Citrulline,0.001917793
Isobutyric acid,0.001878574
m-Hydroxyhippuric acid,0.001835873
Malonic acid,0.001769309
Methylsuccinic acid,0.001693825
Nordeoxycholic acid,0.00169143
L-Tyrosine,0.001567052
5-Hydroxy-L-tryptophan,0.001489407
Indoleacrylic acid,0.001357879
3-Hydroxyisovaleric acid,0.001278114
L-Phenylalanine,0.001273223
Taurocholic acid,0.000822278
Glycocholic acid,0.00070417
L-Homoserine,0.000436499
Taurodeoxycholic acid,0
