L-Arginine
Sarcosine
L-Alanine
Gamma-Aminobutyric acid
L-Asparagine
L-Valine
Phenylpyruvic acid
3-Aminosalicylic acid
Lithocholic acid 3-sulfate
Apocholic Acid
D-Gluconolactone
Carnitine
Azelaic acid
Myristic acid
Pentadecanoic acid
Palmitoleic acid
Citramalic acid
Heptadecanoic acid
Oleic acid
Indoleacrylic acid
3-Indolepropionic acid
Alpha-Ketoisovaleric acid
Ketoleucine
3-Methyl-2-oxovaleric acid
4-Hydroxyphenylpyruvic acid
p-Hydroxyphenylacetic acid
2-Phenylpropionate
Hydrocinnamic acid
Phenyllactic acid
Cinnamic acid
Ethylmethylacetic acid
Propanoic acid
Isobutyric acid
Isovaleric acid
