Heptadecanoic acid
Azelaic acid
Indoleacrylic acid
3-Indolepropionic acid
Pentadecanoic acid
Palmitoleic acid
2-Phenylpropionate
L-Asparagine
Lithocholic acid 3-sulfate
3-Aminosalicylic acid
Apocholic Acid
Carnitine
L-Valine
Phenyllactic acid
p-Hydroxyphenylacetic acid
Myristic acid
Hydrocinnamic acid
4-Hydroxyphenylpyruvic acid
Citramalic acid
Gamma-Aminobutyric acid
Isobutyric acid
Ethylmethylacetic acid
Isovaleric acid
L-Arginine
L-Alanine
Phenylpyruvic acid
Oleic acid
Sarcosine
D-Gluconolactone
Propanoic acid
Alpha-Ketoisovaleric acid
Cinnamic acid
Ketoleucine
3-Methyl-2-oxovaleric acid
